,0
1055,205
1056,465
1057,205
1058,100
1059,205
1060,3227
1061,204
1062,32
1063,204
1064,217
1065,204
1066,323
1067,203
1068,214
1069,203
1070,762
1071,202
1072,42
1073,202
1074,118
1075,202
1076,115
1077,200
1078,195
1079,199
1080,362
1081,199
1082,462
1083,198
1084,50
1085,198
1086,673
1087,197
1088,280
1089,196
1090,16
1091,196
1092,1280
1093,195
1094,132
1095,195
1096,7
1097,195
1098,602
1099,195
1100,15
1101,195
1102,96
1103,194
1104,101
1105,194
1106,667
1107,193
1108,1366
1109,193
1110,35
1111,193
1112,100
1113,193
1114,52
1115,193
1116,298
1117,193
1118,91
1119,192
1120,33
1121,191
1122,82
1123,191
1124,79
1125,190
1126,112
1127,190
1128,258
1129,190
1130,42
1131,189
1132,58
1133,189
1134,10
1135,189
1136,64
1137,189
1138,1674
1139,188
1140,50
1141,188
1142,288
1143,188
1144,100
1145,188
1146,498
1147,187
1148,313
1149,187
1150,343
1151,187
1152,30
1153,187
1154,23
1155,187
1156,54
1157,186
1158,63
1159,186
1160,39
1161,186
1162,75
1163,185
1164,87
1165,185
1166,372
1167,184
1168,68
1169,184
1170,105
1171,184
1172,232
1173,184
1174,90
1175,184
1176,2285
1177,183
1178,65
1179,183
1180,35
1181,182
1182,68
1183,182
1184,225
1185,181
1186,170
1187,181
1188,272
1189,180
1190,64
1191,180
1192,1254
1193,179
1194,20
1195,179
1196,93
1197,179
1198,111
1199,179
1200,4749
1201,178
1202,1540
1203,178
1204,59
1205,178
1206,608
1207,177
1208,10
1209,177
1210,50
1211,177
1212,185
1213,177
1214,65
1215,177
1216,27
1217,177
1218,121
1219,176
1220,287
1221,176
1222,70
1223,176
1224,168
1225,175
1226,42
1227,175
1228,3082
1229,175
1230,88
1231,175
1232,66
1233,174
1234,58
1235,173
1236,312
1237,173
1238,1552
1239,173
1240,124
1241,173
1242,26
1243,173
1244,58
1245,173
1246,44
1247,172
1248,21
1249,171
1250,570
1251,171
1252,149
1253,171
1254,49
1255,171
1256,153
1257,171
1258,93
1259,171
1260,170
1261,170
1262,160
1263,169
1264,131
1265,169
1266,70
1267,168
1268,49
1269,167
1270,54
1271,167
1272,150
1273,167
1274,37
1275,167
1276,351
1277,166
1278,93
1279,166
1280,101
1281,166
1282,149
1283,166
1284,345
1285,166
1286,93
1287,166
1288,128
1289,165
1290,76
1291,165
1292,74
1293,165
1294,333
1295,165
1296,94
1297,164
1298,1463
1299,164
1300,50
1301,164
1302,248
1303,164
1304,95
1305,164
1306,54
1307,164
1308,75
1309,163
1310,82
1311,163
1312,52
1313,163
1314,21
1315,163
1316,18
1317,162
1318,100
1319,162
1320,88
1321,162
1322,40
1323,162
1324,1229
1325,161
1326,566
1327,161
1328,40
1329,161
1330,136
1331,161
1332,405
1333,161
1334,252
1335,161
1336,273
1337,161
1338,63
1339,160
1340,179
1341,160
1342,53
1343,160
1344,91
1345,160
1346,176
1347,160
1348,183
1349,159
1350,120
1351,159
1352,79
1353,159
1354,117
1355,159
1356,50
1357,159
1358,330
1359,158
1360,522
1361,158
1362,202
1363,158
1364,26
1365,158
1366,159
1367,157
1368,134
1369,157
1370,78
1371,157
1372,24
1373,156
1374,68
1375,156
1376,321
1377,156
1378,50
1379,156
1380,100
1381,156
1382,130
1383,155
1384,100
1385,155
1386,210
1387,155
1388,260
1389,154
1390,306
1391,154
1392,331
1393,154
1394,186
1395,153
1396,1550
1397,153
1398,96
1399,153
1400,75
1401,153
1402,16
1403,153
1404,132
1405,153
1406,46
1407,152
1408,71
1409,152
1410,119
1411,152
1412,39
1413,152
1414,223
1415,152
1416,94
1417,151
1418,71
1419,151
1420,74
1421,151
1422,116
1423,151
1424,85
1425,151
1426,439
1427,150
1428,266
1429,150
1430,167
1431,150
1432,58
1433,150
1434,41
1435,150
1436,429
1437,149
1438,578
1439,149
1440,824
1441,149
1442,23
1443,149
1444,653
1445,148
1446,159
1447,148
1448,429
1449,148
1450,42
1451,148
1452,121
1453,148
1454,38
1455,148
1456,163
1457,148
1458,52
1459,148
1460,32
1461,148
1462,401
1463,147
1464,313
1465,147
1466,162
1467,147
1468,50
1469,147
1470,128
1471,147
1472,813
1473,146
1474,170
1475,146
1476,100
1477,146
1478,204
1479,146
1480,100
1481,146
1482,1668
1483,145
1484,171
1485,145
1486,78
1487,145
1488,189
1489,145
1490,5477
1491,144
1492,2194
1493,144
1494,130
1495,144
1496,103
1497,144
1498,340
1499,144
1500,104
1501,144
1502,34
1503,144
1504,289
1505,143
1506,185
1507,143
1508,101
1509,143
1510,82
1511,143
1512,132
1513,143
1514,588
1515,143
1516,50
1517,142
1518,81
1519,142
1520,250
1521,142
1522,48
1523,142
1524,86
1525,142
1526,100
1527,142
1528,50
1529,142
1530,195
1531,142
1532,50
1533,142
1534,51
1535,141
1536,160
1537,141
1538,117
1539,141
1540,262
1541,140
1542,57
1543,140
1544,100
1545,140
1546,2312
1547,139
1548,972
1549,139
1550,378
1551,139
1552,221
1553,139
1554,118
1555,139
1556,123
1557,139
1558,346
1559,139
1560,1510
1561,139
1562,61
1563,139
1564,24
1565,139
1566,54
1567,139
1568,166
1569,138
1570,387
1571,138
1572,43
1573,138
1574,1111
1575,138
1576,29
1577,138
1578,121
1579,138
1580,272
1581,138
1582,798
1583,138
1584,322
1585,138
1586,72
1587,137
1588,142
1589,136
1590,83
1591,136
1592,43
1593,136
1594,62
1595,136
1596,105
1597,136
1598,106
1599,136
1600,140
1601,135
1602,315
1603,135
1604,206
1605,135
1606,323
1607,134
1608,1167
1609,134
1610,123
1611,134
1612,92
1613,134
1614,530
1615,134
1616,49
1617,134
1618,72
1619,134
1620,152
1621,133
1622,98
1623,133
1624,116
1625,133
1626,90
1627,133
1628,28
1629,133
1630,1638
1631,133
1632,216
1633,133
1634,207
1635,133
1636,112
1637,133
1638,175
1639,132
1640,357
1641,132
1642,260
1643,132
1644,105
1645,132
1646,90
1647,132
1648,1284
1649,131
1650,578
1651,131
1652,469
1653,131
1654,1598
1655,131
1656,104
1657,131
1658,89
1659,131
1660,378
1661,131
1662,265
1663,131
1664,305
1665,130
1666,382
1667,130
1668,29233
1669,130
1670,54
1671,130
1672,541
1673,130
1674,67
1675,129
1676,1244
1677,129
1678,76
1679,129
1680,198
1681,129
1682,394
1683,129
1684,48
1685,129
1686,80
1687,129
1688,1013
1689,129
1690,315
1691,128
1692,2413
1693,128
1694,91
1695,128
